hand_id,date,position,vpip,pfr,3bet,invested,collected,showdown_cards,winner
257948303578,2025-09-30T19:43:20.000000,5,false,false,false,0.0,0.0,,false
257948324288,2025-09-30T19:44:59.000000,3,false,false,false,-0.05,0.1,,true
257948340582,2025-09-30T19:46:16.000000,2,false,false,false,0.0,0.0,,false
257948347196,2025-09-30T19:46:47.000000,4,false,false,false,0.0,0.0,,false
257948350999,2025-09-30T19:47:05.000000,2,false,false,false,0.0,0.0,,false
257948365195,2025-09-30T19:48:12.000000,3,true,false,false,0.2,0.0,,false
257948374766,2025-09-30T19:48:58.000000,4,false,false,false,0.0,0.0,,false
257948378325,2025-09-30T19:49:15.000000,3,false,false,false,0.0,0.0,,false
257948458189,2025-09-30T19:55:48.000000,6,true,true,false,0.09999999999999998,0.25,,true
257948466600,2025-09-30T19:56:48.000000,1,true,false,false,0.3,0.0,,false
257948472818,2025-09-30T19:57:32.000000,5,true,true,false,0.1,0.25,,true
257948475426,2025-09-30T19:57:51.000000,2,true,true,false,0.3,0.57,,true
257948474849,2025-09-30T19:57:46.000000,2,false,false,false,0.0,0.0,,false
257948503323,2025-09-30T20:01:02.000000,4,false,false,false,0.0,0.0,,false
257948510165,2025-09-30T20:01:40.000000,5,false,false,false,0.0,0.0,,false
257948510833,2025-09-30T20:01:44.000000,5,false,false,false,0.0,0.0,,false
257948522308,2025-09-30T20:02:42.000000,2,false,false,false,0.0,0.0,,false
257948530163,2025-09-30T20:03:21.000000,6,false,false,false,0.0,0.0,,false
257948533992,2025-09-30T20:03:40.000000,5,false,false,false,0.0,0.0,,false
257969480717,2025-10-02T14:17:46.000000,4,false,false,false,0.0,0.0,,false
257969481809,2025-10-02T14:17:55.000000,4,false,false,false,0.0,0.0,,false
257969481271,2025-10-02T14:17:50.000000,5,false,false,false,0.0,0.0,,false
257969488644,2025-10-02T14:18:51.000000,1,false,false,false,0.0,0.0,,false
257969491492,2025-10-02T14:19:14.000000,1,false,false,false,0.0,0.0,,false
257969489637,2025-10-02T14:18:59.000000,6,false,false,false,0.0,0.0,,false
257969485831,2025-10-02T14:18:28.000000,1,false,false,false,0.0,0.0,,false
257969491939,2025-10-02T14:19:18.000000,4,true,true,false,0.30000000000000004,0.71,,true
257969508739,2025-10-02T14:21:33.000000,5,true,true,false,1.1,1.8,,true
257969509678,2025-10-02T14:21:41.000000,3,true,false,false,0.29999999999999993,0.81,,true
257969521240,2025-10-02T14:23:13.000000,1,true,false,false,10.0,0.0,T8s,false
257969528998,2025-10-02T14:24:15.000000,6,false,false,false,0.0,0.0,,false
257969535671,2025-10-02T14:25:08.000000,1,true,true,false,0.1,0.25,,true
257969540861,2025-10-02T14:25:49.000000,3,false,false,false,-0.05,0.1,,true
257969544770,2025-10-02T14:26:21.000000,1,true,true,false,0.1,0.25,,true
257969554159,2025-10-02T14:27:36.000000,1,true,true,true,0.9,1.85,,true
257969552175,2025-10-02T14:27:20.000000,4,false,false,false,0.0,0.0,,false
257969552605,2025-10-02T14:27:23.000000,3,true,false,false,2.4099999999999997,0.0,T3s,false
257969574643,2025-10-02T14:30:19.000000,2,false,false,false,0.0,0.0,,false
257969575251,2025-10-02T14:30:24.000000,6,false,false,false,0.0,0.0,,false
257969577776,2025-10-02T14:30:44.000000,4,false,false,false,0.0,0.0,,false
257969587516,2025-10-02T14:32:00.000000,1,false,false,false,0.0,0.0,,false
257969587003,2025-10-02T14:31:56.000000,4,false,false,false,0.0,0.0,,false
257969602623,2025-10-02T14:33:58.000000,2,false,false,false,0.0,0.0,,false
257969599915,2025-10-02T14:33:37.000000,3,true,false,false,0.1,0.0,,false
257969617999,2025-10-02T14:35:58.000000,1,false,false,false,0.0,0.0,,false
257969617485,2025-10-02T14:35:54.000000,1,false,false,false,0.0,0.0,,false
257969617006,2025-10-02T14:35:51.000000,2,false,false,false,0.0,0.0,,false
257969624712,2025-10-02T14:36:50.000000,3,true,false,false,0.2,0.0,,false
257969626324,2025-10-02T14:37:03.000000,5,false,false,false,0.0,0.0,,false
257969629572,2025-10-02T14:37:28.000000,6,true,false,false,0.35,0.0,,false
257969632374,2025-10-02T14:37:49.000000,3,true,true,true,0.29999999999999993,0.65,,true
257969637521,2025-10-02T14:38:29.000000,4,false,false,false,0.0,0.0,,false
257969639917,2025-10-02T14:38:47.000000,3,false,false,false,0.0,0.0,,false
257969632902,2025-10-02T14:37:53.000000,4,false,false,false,0.0,0.0,,false
257969641942,2025-10-02T14:39:02.000000,1,false,false,false,0.0,0.0,,false
257969644096,2025-10-02T14:39:19.000000,3,false,false,false,0.0,0.0,,false
257969646470,2025-10-02T14:39:37.000000,6,false,false,false,0.0,0.0,,false
257969649937,2025-10-02T14:40:04.000000,1,true,true,false,0.1,0.25,,true
257969647973,2025-10-02T14:39:49.000000,1,false,false,false,0.0,0.0,,false
257969657013,2025-10-02T14:40:59.000000,5,false,false,false,0.0,0.0,,false
257969666385,2025-10-02T14:42:12.000000,4,false,false,false,0.0,0.0,,false
257969668608,2025-10-02T14:42:28.000000,3,false,false,false,0.0,0.0,,false
257969666849,2025-10-02T14:42:15.000000,4,false,false,false,0.0,0.0,,false
257969676198,2025-10-02T14:43:27.000000,5,true,true,false,0.42000000000000004,0.0,,false
257969676592,2025-10-02T14:43:30.000000,5,false,false,false,0.0,0.0,,false
257969694826,2025-10-02T14:45:51.000000,4,true,true,false,1.56,0.0,,false
257969706786,2025-10-02T14:47:23.000000,4,false,false,false,0.0,0.0,,false
257969711962,2025-10-02T14:48:03.000000,4,true,true,false,0.35,0.0,,false
257973932683,2025-10-02T21:32:41.000000,4,false,false,false,0.0,0.0,,false
257969395762,2025-10-02T14:06:08.000000,6,false,false,false,0.0,0.0,,false
257969397039,2025-10-02T14:06:19.000000,4,false,false,false,0.0,0.0,,false
257969411867,2025-10-02T14:08:22.000000,2,false,false,false,0.0,0.0,,false
257969407345,2025-10-02T14:07:45.000000,3,true,false,false,0.12,0.0,,false
257969425632,2025-10-02T14:10:16.000000,2,true,true,true,1.2,2.38,,true
257969465598,2025-10-02T14:15:43.000000,2,true,true,true,0.25,0.6,,true
257969467206,2025-10-02T14:15:56.000000,4,true,true,false,0.25,0.52,,true
257969468490,2025-10-02T14:16:06.000000,1,false,false,false,0.0,0.0,,false
257969469808,2025-10-02T14:16:17.000000,6,false,false,false,0.0,0.0,,false
257970665484,2025-10-02T16:40:15.000000,6,false,false,false,0.0,0.0,,false
257970683904,2025-10-02T16:42:11.000000,3,true,false,false,2.05,0.0,,false
257970737068,2025-10-02T16:47:42.000000,5,true,true,false,0.1,0.25,,true
257970744908,2025-10-02T16:48:31.000000,3,false,false,false,0.0,0.0,,false
257970754374,2025-10-02T16:49:31.000000,2,true,true,false,0.09999999999999998,0.2,,true
257970755843,2025-10-02T16:49:40.000000,1,false,false,false,0.0,0.0,,false
257970756664,2025-10-02T16:49:45.000000,3,true,false,false,0.25,0.0,,false
257970806158,2025-10-02T16:54:54.000000,4,false,false,false,0.0,0.0,,false
